timestamp	hr								ecg
2025-11-19 18:07:43.084000+00:00									-189,169
2025-11-19 18:33:57.751000+00:00									-140,-154,-150,-68,-161,-155,-147,-142,-170,-157,-80,-199
2025-11-19 18:28:27.014000+00:00									-283,-293,-351,-342,-347,-317,-282,-262,-242,-235,-176,-170
2025-11-19 18:18:08.950000+00:00									-506,-16,87,193,195
2025-11-19 18:21:36.612000+00:00									-154
2025-11-19 18:33:37.581000+00:00									-188,-192,-180,-222,-170,-82,-203,-196,-184,-181,-176,-182
2025-11-19 18:29:17.736000+00:00									-44,-152,-149,-150,-155,-145,-12,-109
2025-11-19 18:16:32.685000+00:00									-189,-179,-166,-157,59,-127,-19,-128,-118,-121
2025-11-19 18:28:36.893000+00:00									24,27,16,65,86,-29,-332,-295,-164,-76,-12,67,-3
2025-11-19 18:12:27.829000+00:00									101,90,61,-88,-155,-181,-263,-261,-132
2025-11-19 18:07:17.831000+00:00									-144,-233,-240,-241,-258,-285,-242,-236,-249,-258
2025-11-19 18:05:27.006000+00:00									152,-156,-144,-142,-146,-154,-153,-153
2025-11-19 18:42:41.553000+00:00									-435,-330,131,-373,-124
2025-11-19 18:13:29.799000+00:00									-406,-40,198
2025-11-19 18:31:51.391000+00:00									201,201,-159,-382,-260,-219,-57,186,189,66,10,26
2025-11-19 18:07:02.777000+00:00									-148
2025-11-19 18:44:30.608000+00:00									-129,-283,-370,-378,-319,-134,-204,-58,-127,-115,-232
2025-11-19 18:43:40.345000+00:00									-161,-341,-506,-506,-421,-329,-359,-279,-209,-157,-143,-70,-61
2025-11-19 18:20:43.077000+00:00									-159,-166,-169,-163,-103,-157,-153,-155,-137,-159
2025-11-19 18:29:07.586000+00:00									-502,-281,-481,-459,96,191
2025-11-19 18:23:52.142000+00:00									-155
2025-11-19 18:20:38.065000+00:00									-227,-235,-196,-141,149,-212,-110,-245,-198,-217
2025-11-19 18:05:02.203000+00:00	74								-163,-170,-184,-196,-195,-191,-210,-203,173,-186
